"1017995","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018133","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018233","built","-2200","-801","period","bronze_age","Bronze Age","source names the period ""Bronze Age""; years from the Whilom period registry, which is a navigation convention","","Bronze Age","1.0.0"
"1018234","built","-2200","-801","period","bronze_age","Bronze Age","source names the period ""Bronze Age""; years from the Whilom period registry, which is a navigation convention","","Bronze Age","1.0.0"
"1018333","built","1901","2000","century","postwar","20th century","source gives ""20th century""; the 20th century is 1901–2000","","20th century","1.0.0"
"1018335","built","43","409","period","roman","Romano-British","source names the period ""Romano-British""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1018380","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018403","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018404","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018405","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018406","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018551","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1018552","built","43","409","period","roman","Roman","source names the period ""Roman""; years from the Whilom period registry, which is a navigation convention","","Roman Britain","1.0.0"
"1018553","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018595","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018600","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018600","built","1603","1713","period","stuart","Jacobean","source names the period ""Jacobean""; years from the Whilom period registry, which is a navigation convention","","Stuart","1.0.0"
"1018690","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018691","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018739","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018774","built","1154","1484","period","medieval","medieval","source names the period ""medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
"1018853","built","1154","1484","period","medieval","Medieval","source names the period ""Medieval""; years from the Whilom period registry, which is a navigation convention","","Medieval","1.0.0"
