"1012873","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17548175","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1012890","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17678933","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1012994","lost","1170","1179","decade","","1170s","1170-01-01T00:00:00Z","8","dissolved, abolished or demolished (P576)","Q17662152","Wikidata dissolved, abolished or demolished (P576) ""1170-01-01T00:00:00Z"" at decade precision; read as 1170–1179","1.0.0"
"1012994","event","1101","1200","century","","12th century","1160-01-01T00:00:00Z","7","significant event (P793) — slighting","Q17662152","Wikidata significant event (P793) — slighting ""1160-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1012994","event","1176","1176","exact_year","","1176","1176-01-01T00:00:00Z","9","significant event (P793) — slighting","Q17662152","Wikidata significant event (P793) — slighting ""1176-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1012995","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q7590024","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1013019","built","1301","1400","century","","14th century","1301-01-01T00:00:00Z","7","inception (P571)","Q12062111","Wikidata inception (P571) ""1301-01-01T00:00:00Z"" at century precision; read as the 14th century (1301–1400), not as a year","1.0.0"
"1013019","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q12062111","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1013088","lost","1536","1536","exact_year","","1536","1536-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q17662713","Wikidata dissolved, abolished or demolished (P576) ""1536-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1013403","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q1018528","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1013403","lost","1537","1537","exact_year","","1537","1537-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q1018528","Wikidata dissolved, abolished or demolished (P576) ""1537-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1014004","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17670069","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1014024","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q6415670","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1014024","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q6415670","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1014241","built","1669","1669","exact_year","","1669","1669-01-01T00:00:00Z","9","inception (P571)","Q17554412","Wikidata inception (P571) ""1669-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1014395","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q540237","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1014395","built","1132","1132","exact_year","","1132","1132-01-01T00:00:00Z","9","inception (P571)","Q540237","Wikidata inception (P571) ""1132-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1014395","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q540237","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1014766","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17662727","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1015096","built","1501","1600","century","","16th century","1501-01-01T00:00:00Z","7","inception (P571)","Q17675996","Wikidata inception (P571) ""1501-01-01T00:00:00Z"" at century precision; read as the 16th century (1501–1600), not as a year","1.0.0"
"1015096","built","1501","1600","century","","16th century","1501-01-01T00:00:00Z","7","inception (P571)","Q17675996","Wikidata inception (P571) ""1501-01-01T00:00:00Z"" at century precision; read as the 16th century (1501–1600), not as a year","1.0.0"
"1015438","associated","-800","42","period","","Iron Age","Q11764 (Iron Age)","0","time period (P2348) — Iron Age","Q17660260","Wikidata time period (P2348) = Q11764 (Iron Age); classified DIRECT_REGISTRY_MATCH; registry period under the same name; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1015684","lost","1540","1540","exact_year","","1540","1540-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q17670883","Wikidata dissolved, abolished or demolished (P576) ""1540-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1017827","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676362","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1017828","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676374","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1018149","built","1152","1152","exact_year","","1152","1152-01-01T00:00:00Z","9","inception (P571)","Q1421579","Wikidata inception (P571) ""1152-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1018149","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q1421579","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1018739","built","1701","1800","century","","18th century","1701-01-01T00:00:00Z","7","inception (P571)","Q17678576","Wikidata inception (P571) ""1701-01-01T00:00:00Z"" at century precision; read as the 18th century (1701–1800), not as a year","1.0.0"
"1019154","lost","1536","1536","exact_year","","1536","1536-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q5365209","Wikidata dissolved, abolished or demolished (P576) ""1536-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1019520","associated","410","1484","period","","Middle Ages","Q12554 (Middle Ages)","0","time period (P2348) — Middle Ages","Q17676722","Wikidata time period (P2348) = Q12554 (Middle Ages); classified BROADER_THAN_REGISTRY; spans early_medieval, norman and medieval; kept as a span rather than narrowed to one of them; years from the Whilom period registry, which is a navigation convention","1.0.0"
"1019593","built","1382","1382","exact_year","","1382","1382-01-01T00:00:00Z","9","inception (P571)","Q7494970","Wikidata inception (P571) ""1382-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1019593","event","1382","1382","exact_year","","1382","1382-01-01T00:00:00Z","9","significant event (P793) — licence to crenellate","Q7494970","Wikidata significant event (P793) — licence to crenellate ""1382-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1019825","built","1301","1400","century","","14th century","1301-01-01T00:00:00Z","7","inception (P571)","Q5643603","Wikidata inception (P571) ""1301-01-01T00:00:00Z"" at century precision; read as the 14th century (1301–1400), not as a year","1.0.0"
"1019825","lost","1536","1536","exact_year","","1536","1536-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q5643603","Wikidata dissolved, abolished or demolished (P576) ""1536-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1020405","lost","1539","1539","exact_year","","1539","1539-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q5608373","Wikidata dissolved, abolished or demolished (P576) ""1539-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1020426","built","1542","1542","exact_year","","1542","1542-01-01T00:00:00Z","9","inception (P571)","Q5472637","Wikidata inception (P571) ""1542-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1020493","built","1101","1200","century","","12th century","1101-01-01T00:00:00Z","7","inception (P571)","Q748927","Wikidata inception (P571) ""1101-01-01T00:00:00Z"" at century precision; read as the 12th century (1101–1200), not as a year","1.0.0"
"1020493","lost","1537","1537","exact_year","","1537","1537-01-01T00:00:00Z","9","dissolved, abolished or demolished (P576)","Q748927","Wikidata dissolved, abolished or demolished (P576) ""1537-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1020586","built","1100","1100","exact_year","","1100","1100-01-01T00:00:00Z","9","inception (P571)","Q6421781","Wikidata inception (P571) ""1100-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1025868","built","1201","1300","century","","13th century","1250-01-01T00:00:00Z","7","inception (P571)","Q17582888","Wikidata inception (P571) ""1250-01-01T00:00:00Z"" at century precision; read as the 13th century (1201–1300), not as a year","1.0.0"
"1031835","built","1001","1100","century","","11th century","1050-01-01T00:00:00Z","7","inception (P571)","Q17533613","Wikidata inception (P571) ""1050-01-01T00:00:00Z"" at century precision; read as the 11th century (1001–1100), not as a year","1.0.0"
"1038944","built","1875","1875","exact_year","","1875","1875-01-01T00:00:00Z","9","inception (P571)","Q26290723","Wikidata inception (P571) ""1875-01-01T00:00:00Z"" at year precision or finer","1.0.0"
"1065896","built","1801","1900","century","","19th century","1801-01-01T00:00:00Z","7","inception (P571)","Q26318920","Wikidata inception (P571) ""1801-01-01T00:00:00Z"" at century precision; read as the 19th century (1801–1900), not as a year","1.0.0"
"1065974","built","1768","1768","exact_year","","1768","1768-01-01T00:00:00Z","9","inception (P571)","Q17533121","Wikidata inception (P571) ""1768-01-01T00:00:00Z"" at year precision or finer","1.0.0"
